id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_060	17	24	0.241430001	0.010059583	1	24	24	24	0.010059583	-0.010059583	480	473	0.985416667	24	24	1.000000000	473	379	0.801268499	473	9474.446018103	9474.444997257	449	449	1.000000000
case_061	16	24	19.295943993	0.803997666	0	0	24	24	0.803997666	-0.803997666	480	480	1.000000000	24	19	0.791666667	480	350	0.729166667	480	9475.607179210	9475.526779443	492	475	0.965447154
case_062	14	24	6.316085044	0.263170210	0	0	24	24	0.263170210	-0.263170210	480	480	1.000000000	24	22	0.916666667	480	345	0.718750000	480	9482.944801610	9482.918484589	456	453	0.993421053
case_063	15	24	5.210192037	0.217091335	1	11	24	24	0.217091335	-0.217091335	480	476	0.991666667	24	22	0.916666667	476	382	0.802521008	476	9477.027549394	9477.005657831	452	448	0.991150442
case_064	12	24	11.481770714	0.478407113	0	0	24	24	0.478407113	-0.478407113	480	477	0.993750000	24	22	0.916666667	477	319	0.668763103	477	9477.937647672	9477.889506076	471	466	0.989384289
case_065	15	24	9.068003127	0.377833464	1	1	24	24	0.377833464	-0.377833464	480	480	1.000000000	24	20	0.833333333	480	372	0.775000000	480	9484.489787193	9484.452003847	456	452	0.991228070
case_066	16	24	5.446247254	0.226926969	0	0	24	24	0.226926969	-0.226926969	480	480	1.000000000	24	23	0.958333333	480	393	0.818750000	480	9484.371293582	9484.348600885	474	472	0.995780591
case_067	17	24	12.790101516	0.532920897	1	3	24	24	0.532920897	-0.532920897	480	479	0.997916667	24	21	0.875000000	479	349	0.728601253	479	9469.264327672	9469.210924325	473	466	0.985200846
case_068	17	24	11.950626675	0.497942778	0	0	24	24	0.497942778	-0.497942778	480	480	1.000000000	24	19	0.791666667	480	329	0.685416667	480	9487.005650322	9486.955856044	456	447	0.980263158
case_069	18	24	9.287700064	0.386987503	0	0	24	24	0.386987503	-0.386987503	480	479	0.997916667	24	19	0.791666667	479	389	0.812108559	479	9486.747769556	9486.708990015	455	448	0.984615385
case_070	24	24	2.985856998	0.124410708	1	6	24	24	0.124410708	-0.124410708	480	476	0.991666667	24	22	0.916666667	476	373	0.783613445	476	9478.247700121	9478.235154503	452	450	0.995575221
case_071	24	24	5.455356725	0.227306530	1	7	24	24	0.227306530	-0.227306530	480	480	1.000000000	24	22	0.916666667	480	376	0.783333333	480	9484.912350505	9484.889619852	456	454	0.995614035
case_072	17	24	2.459254236	0.102468927	0	0	24	24	0.102468927	-0.102468927	480	478	0.995833333	24	22	0.916666667	478	358	0.748953975	478	9474.796469165	9474.786179398	472	470	0.995762712
case_073	15	24	8.756004394	0.364833516	1	3	24	24	0.364833516	-0.364833516	480	477	0.993750000	24	20	0.833333333	477	369	0.773584906	477	9470.745454077	9470.708741270	471	465	0.987261146
case_074	15	24	13.725552593	0.571898025	0	0	24	24	0.571898025	-0.571898025	480	478	0.995833333	24	21	0.875000000	478	346	0.723849372	478	9464.066993083	9464.009563993	471	457	0.970276008
case_075	16	24	5.125580999	0.213565875	1	6	24	24	0.213565875	-0.213565875	480	478	0.995833333	24	22	0.916666667	478	347	0.725941423	478	9481.166805955	9481.145360009	454	452	0.995594714
case_076	22	24	5.884262287	0.245177595	1	4	24	24	0.245177595	-0.245177595	480	477	0.993750000	24	22	0.916666667	477	366	0.767295597	477	9480.894097508	9480.869425549	453	449	0.991169978
case_077	24	24	8.199477884	0.341644912	0	0	24	24	0.341644912	-0.341644912	480	480	1.000000000	24	21	0.875000000	480	387	0.806250000	480	9485.776815945	9485.742651454	456	451	0.989035088
case_078	28	24	21.703948321	0.904331180	0	0	24	24	0.904331180	-0.904331180	480	479	0.997916667	24	18	0.750000000	479	328	0.684759916	479	9485.134839289	9485.044217375	455	432	0.949450549
case_079	20	24	6.477474336	0.269894764	0	0	24	24	0.269894764	-0.269894764	480	479	0.997916667	24	22	0.916666667	479	353	0.736951983	479	9473.894990750	9473.867944928	473	470	0.993657505
case_080	13	24	16.936125071	0.705671878	1	6	24	24	0.705671878	-0.705671878	480	478	0.995833333	24	18	0.750000000	478	358	0.748953975	478	9485.939518108	9485.868655660	454	442	0.973568282
case_081	13	24	6.586903052	0.274454294	1	4	24	24	0.274454294	-0.274454294	480	479	0.997916667	24	22	0.916666667	479	336	0.701461378	479	9485.624236028	9485.596733302	455	453	0.995604396
case_082	16	24	27.960115824	1.165004826	1	7	24	24	1.165004826	-1.165004826	480	477	0.993750000	24	14	0.583333333	477	328	0.687631027	477	9472.339593789	9472.222360599	471	451	0.957537155
case_083	19	17	1.025425014	0.060319118	1	16	17	17	0.060319118	-0.060319118	340	330	0.970588235	17	16	0.941176471	330	241	0.730303030	330	9463.834817959	9463.828603262	313	312	0.996805112
case_084	23	11	1.105520304	0.100501846	1	7	11	11	0.100501846	-0.100501846	220	215	0.977272727	11	10	0.909090909	215	155	0.720930233	215	9467.835404532	9467.825120622	204	203	0.995098039
case_085	18	24	10.047989690	0.418666237	1	11	24	24	0.418666237	-0.418666237	480	475	0.989583333	24	20	0.833333333	475	371	0.781052632	475	9462.933245280	9462.890937955	469	463	0.987206823
case_086	16	24	7.083494275	0.295145595	1	8	24	24	0.295145595	-0.295145595	480	480	1.000000000	24	22	0.916666667	480	357	0.743750000	480	9487.315121002	9487.285606442	456	452	0.991228070
case_087	12	24	11.497289039	0.479053710	1	3	24	24	0.479053710	-0.479053710	480	480	1.000000000	24	19	0.791666667	480	365	0.760416667	480	9486.967948984	9486.920043613	456	447	0.980263158
case_088	14	24	14.717256996	0.613219041	1	10	24	24	0.613219041	-0.613219041	480	480	1.000000000	24	17	0.708333333	480	382	0.795833333	480	9489.680349158	9489.619027254	456	448	0.982456140
case_089	12	24	19.261333604	0.802555567	0	0	24	24	0.802555567	-0.802555567	480	480	1.000000000	24	18	0.750000000	480	335	0.697916667	480	9469.486812092	9469.406556535	474	462	0.974683544
case_090	17	24	8.244393768	0.343516407	0	0	24	24	0.343516407	-0.343516407	480	480	1.000000000	24	21	0.875000000	480	341	0.710416667	480	9485.811134813	9485.776783173	456	451	0.989035088
case_091	14	24	14.611797915	0.608824913	0	0	24	24	0.608824913	-0.608824913	480	479	0.997916667	24	20	0.833333333	479	320	0.668058455	479	9484.551374011	9484.490364416	455	436	0.958241758
case_092	15	24	0.886450546	0.036935439	1	24	24	24	0.036935439	-0.036935439	480	475	0.989583333	24	24	1.000000000	475	385	0.810526316	475	9474.878167634	9474.874435210	451	451	1.000000000
case_093	17	24	16.543674940	0.689319789	0	0	24	24	0.689319789	-0.689319789	480	480	1.000000000	24	19	0.791666667	480	357	0.743750000	480	9479.249957452	9479.181025474	474	467	0.985232068
case_094	16	8	3.200309207	0.400038651	0	0	8	8	0.400038651	-0.400038651	160	155	0.968750000	8	6	0.750000000	155	121	0.780645161	155	9466.425751593	9466.384457281	147	145	0.986394558
case_095	17	15	1.121838537	0.074789236	1	9	15	15	0.074789236	-0.074789236	300	290	0.966666667	15	14	0.933333333	290	218	0.751724138	290	9464.888055719	9464.880318902	275	274	0.996363636
case_096	15	11	4.360138563	0.396376233	0	0	11	11	0.396376233	-0.396376233	220	213	0.968181818	11	8	0.727272727	213	140	0.657276995	213	9463.342495034	9463.301554766	202	200	0.990099010
case_097	22	11	0.120452252	0.010950205	1	11	11	11	0.010950205	-0.010950205	220	211	0.959090909	11	11	1.000000000	211	149	0.706161137	211	9456.651227720	9456.650085992	200	200	1.000000000
case_098	20	8	7.071803732	0.883975467	0	0	8	8	0.883975467	-0.883975467	160	152	0.950000000	8	5	0.625000000	152	102	0.671052632	152	9458.414419626	9458.321369577	144	141	0.979166667
case_099	22	24	12.492568036	0.520523668	0	0	24	24	0.520523668	-0.520523668	480	464	0.966666667	24	21	0.875000000	464	337	0.726293103	464	9463.083427992	9463.029580716	440	437	0.993181818
