id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_026	17	24	14.880992333	0.620041347	1	1	24	24	0.620041347	-0.620041347	480	480	1.000000000	24	19	0.791666667	480	339	0.706250000	480	9472.062345376	9472.000341241	492	480	0.975609756
case_027	14	24	5.223598965	0.217649957	1	12	24	24	0.217649957	-0.217649957	480	479	0.997916667	24	22	0.916666667	479	334	0.697286013	479	9485.499595509	9485.477785075	455	453	0.995604396
case_028	16	24	8.179177579	0.340799066	0	0	24	24	0.340799066	-0.340799066	480	479	0.997916667	24	19	0.791666667	479	332	0.693110647	479	9483.357810730	9483.323659676	455	450	0.989010989
case_029	18	24	22.694601913	0.945608413	0	0	24	24	0.945608413	-0.945608413	480	480	1.000000000	24	16	0.666666667	480	354	0.737500000	480	9489.910919634	9489.816358793	456	436	0.956140351
case_030	23	24	8.571871207	0.357161300	1	14	24	24	0.357161300	-0.357161300	480	480	1.000000000	24	22	0.916666667	480	364	0.758333333	480	9486.615249792	9486.579533661	456	453	0.993421053
case_031	22	24	3.051183804	0.127132658	1	22	24	24	0.127132658	-0.127132658	480	477	0.993750000	24	23	0.958333333	477	352	0.737945493	477	9481.209873168	9481.197079945	453	452	0.997792494
case_032	18	24	8.364381643	0.348515902	1	1	24	24	0.348515902	-0.348515902	480	480	1.000000000	24	22	0.916666667	480	346	0.720833333	480	9485.040437110	9485.005585520	456	453	0.993421053
case_033	15	24	10.371777975	0.432157416	0	0	24	24	0.432157416	-0.432157416	480	478	0.995833333	24	20	0.833333333	478	348	0.728033473	478	9483.979203267	9483.935806707	454	448	0.986784141
case_034	22	24	14.484853819	0.603535576	1	3	24	24	0.603535576	-0.603535576	480	479	0.997916667	24	20	0.833333333	479	351	0.732776618	479	9481.458064330	9481.397584773	455	448	0.984615385
case_035	23	24	9.711135392	0.404630641	0	0	24	24	0.404630641	-0.404630641	480	479	0.997916667	24	20	0.833333333	479	356	0.743215031	479	9483.272326383	9483.231778845	455	449	0.986813187
case_036	21	24	7.428826238	0.309534427	0	0	24	24	0.309534427	-0.309534427	480	479	0.997916667	24	22	0.916666667	479	350	0.730688935	479	9484.902311696	9484.871293632	455	453	0.995604396
case_037	18	24	5.795036168	0.241459840	0	0	24	24	0.241459840	-0.241459840	480	479	0.997916667	24	21	0.875000000	479	341	0.711899791	479	9481.231958678	9481.207762285	455	450	0.989010989
case_038	26	24	12.877085475	0.536545228	1	1	24	24	0.536545228	-0.536545228	480	479	0.997916667	24	21	0.875000000	479	335	0.699373695	479	9481.989109930	9481.935343393	455	448	0.984615385
case_039	23	24	19.023881023	0.792661709	0	0	24	24	0.792661709	-0.792661709	480	480	1.000000000	24	17	0.708333333	480	349	0.727083333	480	9475.331844788	9475.252578617	492	477	0.969512195
case_040	21	24	21.409897939	0.892079081	1	15	24	24	0.892079081	-0.892079081	480	479	0.997916667	24	17	0.708333333	479	358	0.747390397	479	9484.565813819	9484.476419673	455	437	0.960439560
case_041	15	24	17.302695952	0.720945665	0	0	24	24	0.720945665	-0.720945665	480	480	1.000000000	24	19	0.791666667	480	326	0.679166667	480	9488.004295252	9487.932200686	456	449	0.984649123
case_042	14	24	17.798843207	0.741618467	1	1	24	24	0.741618467	-0.741618467	480	480	1.000000000	24	19	0.791666667	480	361	0.752083333	480	9488.546236995	9488.472075148	456	447	0.980263158
case_043	18	24	2.909448135	0.121227006	0	0	24	24	0.121227006	-0.121227006	480	472	0.983333333	24	22	0.916666667	472	342	0.724576271	472	9476.272164758	9476.259836588	448	445	0.993303571
case_044	20	24	11.110767018	0.462948626	0	0	24	24	0.462948626	-0.462948626	480	479	0.997916667	24	20	0.833333333	479	349	0.728601253	479	9486.266993844	9486.220602332	455	447	0.982417582
case_045	18	24	9.848994017	0.410374751	1	5	24	24	0.410374751	-0.410374751	480	480	1.000000000	24	21	0.875000000	480	325	0.677083333	480	9487.002291029	9486.961253554	456	452	0.991228070
case_046	19	24	3.770267084	0.157094462	1	2	24	24	0.157094462	-0.157094462	480	476	0.991666667	24	22	0.916666667	476	326	0.684873950	476	9480.438086389	9480.422244931	452	450	0.995575221
case_047	16	24	10.193179451	0.424715810	0	0	24	24	0.424715810	-0.424715810	480	479	0.997916667	24	20	0.833333333	479	314	0.655532359	479	9485.519221383	9485.476661135	455	451	0.991208791
case_048	18	24	7.930794481	0.330449770	1	17	24	24	0.330449770	-0.330449770	480	479	0.997916667	24	22	0.916666667	479	354	0.739039666	479	9485.914203207	9485.881089243	455	444	0.975824176
case_049	18	24	26.288531510	1.095355480	1	14	24	24	1.095355480	-1.095355480	480	480	1.000000000	24	19	0.791666667	480	346	0.720833333	480	9467.863727689	9467.754192141	474	446	0.940928270
case_050	27	24	19.560530794	0.815022116	1	8	24	24	0.815022116	-0.815022116	480	480	1.000000000	24	18	0.750000000	480	340	0.708333333	480	9483.999026560	9483.917524348	456	448	0.982456140
case_051	21	24	16.844027596	0.701834483	0	0	24	24	0.701834483	-0.701834483	480	480	1.000000000	24	17	0.708333333	480	350	0.729166667	480	9488.479438660	9488.409255211	456	442	0.969298246
case_052	19	24	20.926079748	0.871919989	0	0	24	24	0.871919989	-0.871919989	480	479	0.997916667	24	16	0.666666667	479	334	0.697286013	479	9481.523931359	9481.436557331	491	475	0.967413442
case_053	22	24	2.795283890	0.116470162	1	11	24	24	0.116470162	-0.116470162	480	476	0.991666667	24	23	0.958333333	476	353	0.741596639	476	9478.729720353	9478.717975463	452	451	0.997787611
case_054	24	24	8.226365088	0.342765212	0	0	24	24	0.342765212	-0.342765212	480	480	1.000000000	24	22	0.916666667	480	367	0.764583333	480	9483.937153874	9483.902877353	456	445	0.975877193
case_055	25	24	4.345723970	0.181071832	1	5	24	24	0.181071832	-0.181071832	480	480	1.000000000	24	22	0.916666667	480	321	0.668750000	480	9483.606822794	9483.588715611	456	454	0.995614035
case_056	18	24	24.062080841	1.002586702	1	1	24	24	1.002586702	-1.002586702	480	479	0.997916667	24	16	0.666666667	479	327	0.682672234	479	9485.365858697	9485.265390719	455	442	0.971428571
case_057	22	24	5.537394483	0.230724770	0	0	24	24	0.230724770	-0.230724770	480	478	0.995833333	24	20	0.833333333	478	351	0.734309623	478	9481.957823385	9481.934654371	454	450	0.991189427
case_058	25	24	10.385689719	0.432737072	0	0	24	24	0.432737072	-0.432737072	480	480	1.000000000	24	20	0.833333333	480	356	0.741666667	480	9486.173025708	9486.129752001	456	452	0.991228070
case_059	23	24	14.818761490	0.617448395	0	0	24	24	0.617448395	-0.617448395	480	480	1.000000000	24	19	0.791666667	480	326	0.679166667	480	9485.145543721	9485.083798881	456	447	0.980263158
case_060	17	24	1.435964387	0.059831849	1	19	24	24	0.059831849	-0.059831849	480	473	0.985416667	24	23	0.958333333	473	350	0.739957717	473	9475.073735923	9475.067664192	449	448	0.997772829
case_061	16	24	23.371480434	0.973811685	0	0	24	24	0.973811685	-0.973811685	480	480	1.000000000	24	17	0.708333333	480	338	0.704166667	480	9476.032541482	9475.935160313	492	473	0.961382114
case_062	14	24	12.235982150	0.509832590	0	0	24	24	0.509832590	-0.509832590	480	480	1.000000000	24	21	0.875000000	480	334	0.695833333	480	9482.664716230	9482.613732971	456	449	0.984649123
case_063	15	24	5.539338450	0.230805769	1	11	24	24	0.230805769	-0.230805769	480	476	0.991666667	24	22	0.916666667	476	364	0.764705882	476	9476.313918020	9476.290643489	452	450	0.995575221
case_064	12	24	15.060404786	0.627516866	0	0	24	24	0.627516866	-0.627516866	480	477	0.993750000	24	19	0.791666667	477	302	0.633123690	477	9478.422645534	9478.359499182	471	463	0.983014862
case_065	15	24	12.920249815	0.538343742	1	1	24	24	0.538343742	-0.538343742	480	480	1.000000000	24	16	0.666666667	480	357	0.743750000	480	9485.339336471	9485.285502097	456	447	0.980263158
case_066	16	24	6.299790779	0.262491282	0	0	24	24	0.262491282	-0.262491282	480	480	1.000000000	24	22	0.916666667	480	382	0.795833333	480	9484.182074511	9484.155825383	474	471	0.993670886
case_067	17	24	15.056665919	0.627361080	1	3	24	24	0.627361080	-0.627361080	480	479	0.997916667	24	21	0.875000000	479	337	0.703549061	479	9469.499520660	9469.436653579	473	463	0.978858351
case_068	17	24	16.021055489	0.667543979	0	0	24	24	0.667543979	-0.667543979	480	480	1.000000000	24	18	0.750000000	480	320	0.666666667	480	9487.190208387	9487.123453989	456	446	0.978070175
case_069	18	24	13.145857132	0.547744047	0	0	24	24	0.547744047	-0.547744047	480	479	0.997916667	24	19	0.791666667	479	369	0.770354906	479	9487.662778180	9487.607889424	455	447	0.982417582
case_070	24	24	4.287688105	0.178653671	1	6	24	24	0.178653671	-0.178653671	480	476	0.991666667	24	22	0.916666667	476	360	0.756302521	476	9478.410319233	9478.392303737	452	448	0.991150442
case_071	24	24	5.934771535	0.247282147	1	7	24	24	0.247282147	-0.247282147	480	480	1.000000000	24	22	0.916666667	480	378	0.787500000	480	9484.341359695	9484.316631480	456	454	0.995614035
case_072	17	24	2.660970529	0.110873772	0	0	24	24	0.110873772	-0.110873772	480	478	0.995833333	24	22	0.916666667	478	335	0.700836820	478	9474.303250156	9474.292116388	472	470	0.995762712
case_073	15	24	13.140016722	0.547500697	1	3	24	24	0.547500697	-0.547500697	480	477	0.993750000	24	19	0.791666667	477	352	0.737945493	477	9471.344144974	9471.289050564	471	462	0.980891720
case_074	15	24	17.301349740	0.720889573	0	0	24	24	0.720889573	-0.720889573	480	478	0.995833333	24	20	0.833333333	478	319	0.667364017	478	9465.089513944	9465.017123359	471	457	0.970276008
case_075	16	24	5.530977715	0.230457405	1	10	24	24	0.230457405	-0.230457405	480	478	0.995833333	24	22	0.916666667	478	332	0.694560669	478	9481.402945728	9481.379803562	454	450	0.991189427
case_076	22	24	8.682121425	0.361755059	1	4	24	24	0.361755059	-0.361755059	480	477	0.993750000	24	22	0.916666667	477	348	0.729559748	477	9481.404057439	9481.367654414	453	448	0.988962472
case_077	24	24	8.358961984	0.348290083	0	0	24	24	0.348290083	-0.348290083	480	480	1.000000000	24	21	0.875000000	480	371	0.772916667	480	9485.577715046	9485.542886038	456	451	0.989035088
case_078	28	24	22.362172561	0.931757190	0	0	24	24	0.931757190	-0.931757190	480	479	0.997916667	24	17	0.708333333	479	327	0.682672234	479	9484.803865956	9484.710495716	455	435	0.956043956
case_079	20	24	6.452915642	0.268871485	0	0	24	24	0.268871485	-0.268871485	480	479	0.997916667	24	22	0.916666667	479	327	0.682672234	479	9474.121546250	9474.094602970	473	471	0.995771670
case_080	13	24	18.641937420	0.776747393	1	6	24	24	0.776747393	-0.776747393	480	478	0.995833333	24	18	0.750000000	478	331	0.692468619	478	9485.955776041	9485.877776303	454	442	0.973568282
case_081	13	24	11.380974899	0.474207287	1	1	24	24	0.474207287	-0.474207287	480	479	0.997916667	24	19	0.791666667	479	323	0.674321503	479	9486.340337476	9486.292817748	455	450	0.989010989
case_082	16	24	25.739148465	1.072464519	1	7	24	24	1.072464519	-1.072464519	480	477	0.993750000	24	15	0.625000000	477	318	0.666666667	477	9472.918556711	9472.810635753	471	454	0.963906582
case_083	19	17	2.614298072	0.153782240	1	16	17	17	0.153782240	-0.153782240	340	330	0.970588235	17	16	0.941176471	330	231	0.700000000	330	9464.760930321	9464.745086090	313	312	0.996805112
