id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_026	17	24	12.425044067	0.517710169	0	0	24	24	0.517710169	-0.517710169	480	480	1.000000000	24	19	0.791666667	480	373	0.777083333	480	9470.981284949	9470.929513932	492	482	0.979674797
case_027	14	24	4.899489793	0.204145408	1	4	24	24	0.204145408	-0.204145408	480	479	0.997916667	24	22	0.916666667	479	359	0.749478079	479	9483.912407783	9483.891950623	455	452	0.993406593
case_028	16	24	9.879098942	0.411629123	0	0	24	24	0.411629123	-0.411629123	480	479	0.997916667	24	21	0.875000000	479	344	0.718162839	479	9483.662665347	9483.621416500	455	451	0.991208791
case_029	18	24	17.244092984	0.718503874	0	0	24	24	0.718503874	-0.718503874	480	480	1.000000000	24	15	0.625000000	480	377	0.785416667	480	9488.959849594	9488.887999207	456	439	0.962719298
case_030	23	24	6.844597762	0.285191573	1	14	24	24	0.285191573	-0.285191573	480	480	1.000000000	24	23	0.958333333	480	381	0.793750000	480	9485.968782034	9485.940262876	456	455	0.997807018
case_031	22	24	3.830216789	0.159592366	1	3	24	24	0.159592366	-0.159592366	480	477	0.993750000	24	22	0.916666667	477	375	0.786163522	477	9479.977716975	9479.961657366	453	451	0.995584989
case_032	18	24	5.319101177	0.221629216	0	0	24	24	0.221629216	-0.221629216	480	480	1.000000000	24	22	0.916666667	480	370	0.770833333	480	9482.961463072	9482.939300150	456	454	0.995614035
case_033	15	24	9.370553581	0.390439733	0	0	24	24	0.390439733	-0.390439733	480	478	0.995833333	24	21	0.875000000	478	377	0.788702929	478	9483.267138202	9483.227930865	454	446	0.982378855
case_034	22	24	6.152258813	0.256344117	1	3	24	24	0.256344117	-0.256344117	480	479	0.997916667	24	20	0.833333333	479	379	0.791231733	479	9480.827138106	9480.801450178	455	450	0.989010989
case_035	23	24	9.969581119	0.415399213	0	0	24	24	0.415399213	-0.415399213	480	479	0.997916667	24	21	0.875000000	479	378	0.789144050	479	9482.962132721	9482.920506078	455	449	0.986813187
case_036	21	24	4.194032040	0.174751335	0	0	24	24	0.174751335	-0.174751335	480	479	0.997916667	24	23	0.958333333	479	372	0.776617954	479	9484.694805360	9484.677293744	455	454	0.997802198
case_037	18	24	4.454298448	0.185595769	0	0	24	24	0.185595769	-0.185595769	480	479	0.997916667	24	22	0.916666667	479	352	0.734864301	479	9480.051065351	9480.032467028	455	451	0.991208791
case_038	26	24	9.062459276	0.377602470	0	0	24	24	0.377602470	-0.377602470	480	479	0.997916667	24	20	0.833333333	479	356	0.743215031	479	9481.233853950	9481.196014872	455	451	0.991208791
case_039	23	24	19.344721877	0.806030078	0	0	24	24	0.806030078	-0.806030078	480	480	1.000000000	24	18	0.750000000	480	363	0.756250000	480	9476.569712838	9476.489109830	492	472	0.959349593
case_040	21	24	14.227908865	0.592829536	1	15	24	24	0.592829536	-0.592829536	480	479	0.997916667	24	18	0.750000000	479	377	0.787056367	479	9485.707376763	9485.647970045	455	444	0.975824176
case_041	15	24	11.846525239	0.493605218	1	3	24	24	0.493605218	-0.493605218	480	480	1.000000000	24	19	0.791666667	480	358	0.745833333	480	9488.173013822	9488.123653301	456	449	0.984649123
case_042	14	24	10.760366449	0.448348602	1	1	24	24	0.448348602	-0.448348602	480	480	1.000000000	24	21	0.875000000	480	393	0.818750000	480	9487.750106521	9487.705271661	456	451	0.989035088
case_043	18	24	1.403092036	0.058462168	1	24	24	24	0.058462168	-0.058462168	480	472	0.983333333	24	24	1.000000000	472	349	0.739406780	472	9475.006371212	9475.000425906	448	448	1.000000000
case_044	20	24	6.152833884	0.256368079	0	0	24	24	0.256368079	-0.256368079	480	479	0.997916667	24	21	0.875000000	479	375	0.782881002	479	9484.868117343	9484.842427014	455	450	0.989010989
case_045	18	24	11.879718564	0.494988274	1	5	24	24	0.494988274	-0.494988274	480	480	1.000000000	24	21	0.875000000	480	347	0.722916667	480	9486.513478714	9486.463979887	456	451	0.989035088
case_046	19	24	3.219569272	0.134148720	1	21	24	24	0.134148720	-0.134148720	480	476	0.991666667	24	23	0.958333333	476	353	0.741596639	476	9480.055085205	9480.041557603	452	450	0.995575221
case_047	16	24	7.150000488	0.297916687	0	0	24	24	0.297916687	-0.297916687	480	479	0.997916667	24	20	0.833333333	479	346	0.722338205	479	9484.919645301	9484.889791437	455	450	0.989010989
case_048	18	24	6.792415673	0.283017320	1	16	24	24	0.283017320	-0.283017320	480	479	0.997916667	24	21	0.875000000	479	376	0.784968685	479	9484.448769514	9484.420408697	455	450	0.989010989
case_049	18	24	16.102666559	0.670944440	1	16	24	24	0.670944440	-0.670944440	480	480	1.000000000	24	20	0.833333333	480	377	0.785416667	480	9467.322383279	9467.255288835	474	460	0.970464135
case_050	27	24	15.418298652	0.642429111	1	11	24	24	0.642429111	-0.642429111	480	480	1.000000000	24	19	0.791666667	480	356	0.741666667	480	9484.368875900	9484.304632988	456	448	0.982456140
case_051	21	24	12.368289879	0.515345412	0	0	24	24	0.515345412	-0.515345412	480	480	1.000000000	24	20	0.833333333	480	361	0.752083333	480	9488.929601408	9488.878066866	456	451	0.989035088
case_052	19	24	12.858592163	0.535774673	1	3	24	24	0.535774673	-0.535774673	480	479	0.997916667	24	19	0.791666667	479	362	0.755741127	479	9481.283206539	9481.229517219	491	483	0.983706721
case_053	22	24	1.642592432	0.068441351	1	24	24	24	0.068441351	-0.068441351	480	476	0.991666667	24	24	1.000000000	476	359	0.754201681	476	9479.297003711	9479.290102062	452	452	1.000000000
case_054	24	24	9.485106239	0.395212760	0	0	24	24	0.395212760	-0.395212760	480	480	1.000000000	24	22	0.916666667	480	387	0.806250000	480	9483.138604896	9483.099083620	456	443	0.971491228
case_055	25	24	4.784908063	0.199371169	1	5	24	24	0.199371169	-0.199371169	480	480	1.000000000	24	23	0.958333333	480	342	0.712500000	480	9483.319824065	9483.299886948	456	454	0.995614035
case_056	18	24	15.132384939	0.630516039	0	0	24	24	0.630516039	-0.630516039	480	479	0.997916667	24	20	0.833333333	479	349	0.728601253	479	9484.106258358	9484.043075122	455	447	0.982417582
case_057	22	24	5.927176228	0.246965676	0	0	24	24	0.246965676	-0.246965676	480	478	0.995833333	24	19	0.791666667	478	375	0.784518828	478	9480.866974160	9480.842174259	454	449	0.988986784
case_058	25	24	7.169565529	0.298731897	0	0	24	24	0.298731897	-0.298731897	480	480	1.000000000	24	21	0.875000000	480	364	0.758333333	480	9484.750012693	9484.720139504	456	453	0.993421053
case_059	23	24	9.133280750	0.380553365	0	0	24	24	0.380553365	-0.380553365	480	480	1.000000000	24	20	0.833333333	480	345	0.718750000	480	9484.194215751	9484.156160414	456	451	0.989035088
case_060	17	24	0.277581979	0.011565916	1	24	24	24	0.011565916	-0.011565916	480	473	0.985416667	24	24	1.000000000	473	377	0.797040169	473	9473.484528039	9473.483354331	449	449	1.000000000
case_061	16	24	20.430816863	0.851284036	0	0	24	24	0.851284036	-0.851284036	480	480	1.000000000	24	18	0.750000000	480	356	0.741666667	480	9475.542590015	9475.457461612	492	472	0.959349593
case_062	14	24	12.213891831	0.508912160	0	0	24	24	0.508912160	-0.508912160	480	480	1.000000000	24	22	0.916666667	480	359	0.747916667	480	9482.304841000	9482.253949784	456	452	0.991228070
case_063	15	24	5.509538140	0.229564089	1	11	24	24	0.229564089	-0.229564089	480	476	0.991666667	24	22	0.916666667	476	381	0.800420168	476	9477.492243731	9477.469094411	452	448	0.991150442
case_064	12	24	8.851619314	0.368817471	0	0	24	24	0.368817471	-0.368817471	480	477	0.993750000	24	22	0.916666667	477	327	0.685534591	477	9476.436402829	9476.399289121	471	467	0.991507431
case_065	15	24	10.232267839	0.426344493	1	1	24	24	0.426344493	-0.426344493	480	480	1.000000000	24	18	0.750000000	480	386	0.804166667	480	9484.521789935	9484.479155486	456	450	0.986842105
case_066	16	24	5.086152768	0.211923032	0	0	24	24	0.211923032	-0.211923032	480	480	1.000000000	24	21	0.875000000	480	394	0.820833333	480	9483.586778769	9483.565586466	474	470	0.991561181
case_067	17	24	13.975335424	0.582305643	0	0	24	24	0.582305643	-0.582305643	480	479	0.997916667	24	20	0.833333333	479	363	0.757828810	479	9469.715717067	9469.657364936	473	464	0.980972516
case_068	17	24	12.095107079	0.503962795	0	0	24	24	0.503962795	-0.503962795	480	480	1.000000000	24	20	0.833333333	480	334	0.695833333	480	9487.317911510	9487.267515230	456	447	0.980263158
case_069	18	24	10.438135107	0.434922296	1	1	24	24	0.434922296	-0.434922296	480	479	0.997916667	24	20	0.833333333	479	392	0.818371608	479	9486.907552638	9486.863969610	455	450	0.989010989
case_070	24	24	2.611350704	0.108806279	1	6	24	24	0.108806279	-0.108806279	480	476	0.991666667	24	23	0.958333333	476	378	0.794117647	476	9477.576325373	9477.565353311	452	451	0.997787611
case_071	24	24	7.776455180	0.324018966	0	0	24	24	0.324018966	-0.324018966	480	480	1.000000000	24	20	0.833333333	480	374	0.779166667	480	9484.985872299	9484.953470402	456	452	0.991228070
case_072	17	24	1.643144759	0.068464365	1	9	24	24	0.068464365	-0.068464365	480	478	0.995833333	24	23	0.958333333	478	371	0.776150628	478	9474.709248905	9474.702373822	472	471	0.997881356
case_073	15	24	8.386690328	0.349445430	1	3	24	24	0.349445430	-0.349445430	480	477	0.993750000	24	20	0.833333333	477	376	0.788259958	477	9470.414311563	9470.379147243	471	466	0.989384289
